City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,Saint-Philippe,-21.36,55.77,71.6,77,67,2.24,RE,2020-06-20 19:53:19
137,Leningradskiy,69.38,178.42,51.48,54,36,4.61,RU,2020-06-20 19:53:20
138,Yellowknife,62.46,-114.35,75.99,35,20,19.46,CA,2020-06-20 19:53:20
139,Baiyin,36.56,104.21,71.01,60,7,4.47,CN,2020-06-20 19:53:20
140,Aklavik,68.22,-135.01,46.4,93,90,9.17,CA,2020-06-20 19:53:20
141,Alice Springs,-23.7,133.88,41.0,60,0,5.82,AU,2020-06-20 19:53:20
142,Tigil,57.8,158.67,52.74,81,39,4.68,RU,2020-06-20 19:53:21
143,Jumla,29.27,82.18,60.17,71,94,2.21,NP,2020-06-20 19:53:21
144,Port Elizabeth,-33.92,25.57,57.2,93,65,5.82,ZA,2020-06-20 19:53:21
145,Kavieng,-2.57,150.8,82.26,73,25,1.57,PG,2020-06-20 19:53:21
146,Plouzane,48.38,-4.62,60.8,77,75,19.46,FR,2020-06-20 19:53:21
147,Aykhal,66.0,111.5,61.61,63,85,3.42,RU,2020-06-20 19:53:22
148,Buchanan,5.88,-10.05,82.4,78,20,3.36,LR,2020-06-20 19:53:22
149,Batagay-Alyta,67.8,130.41,75.54,36,0,3.0,RU,2020-06-20 19:53:22
150,Norman Wells,65.28,-126.83,60.8,93,75,8.05,CA,2020-06-20 19:53:22
151,Avarua,-21.21,-159.78,73.4,69,100,6.93,CK,2020-06-20 19:53:22
152,Dandong,40.13,124.39,62.69,94,2,4.52,CN,2020-06-20 19:53:22
153,Miraflores,19.22,-98.81,77.0,36,90,6.93,MX,2020-06-20 19:53:23
154,Santa Rosa,14.31,121.11,80.6,88,20,1.52,PH,2020-06-20 19:53:23
155,Kruisfontein,-34.0,24.73,56.77,88,98,0.58,ZA,2020-06-20 19:53:23
156,Gonbad-E Qabus,37.25,55.17,80.6,54,52,4.7,IR,2020-06-20 19:53:23
157,Tiksi,71.69,128.87,64.44,42,0,5.17,RU,2020-06-20 19:53:23
158,Vanimo,-2.67,141.3,77.97,82,66,4.63,PG,2020-06-20 19:53:24
159,Yinchuan,38.47,106.27,75.0,39,62,5.99,CN,2020-06-20 19:53:24
160,Srandakan,-7.94,110.25,76.21,87,100,7.61,ID,2020-06-20 19:53:24
161,Bathsheba,13.22,-59.52,86.0,74,20,19.46,BB,2020-06-20 19:53:24
162,Chuy,-33.7,-53.46,57.97,84,36,8.12,UY,2020-06-20 19:53:24
163,Sao Gabriel Da Cachoeira,-0.13,-67.09,75.2,94,90,3.36,BR,2020-06-20 19:53:25
164,Launceston,-41.45,147.17,45.0,100,90,8.05,AU,2020-06-20 19:53:25
165,Geraldton,-28.77,114.6,48.2,93,0,4.7,AU,2020-06-20 19:53:25
166,Lebanon,36.21,-86.29,91.4,38,20,1.12,US,2020-06-20 19:53:25
167,Hofn,64.25,-15.21,51.55,91,60,6.26,IS,2020-06-20 19:53:25
168,Teontepec,18.5,-97.52,84.0,33,42,1.99,MX,2020-06-20 19:53:26
