City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
205,majadahonda,ES,75.99,40.47,-3.87,Aravaca Garden
206,riyadh,SA,84.2,24.69,46.72,InterContinental Riyadh
207,ust-maya,RU,74.44,60.42,134.53,
208,eirunepe,BR,71.92,-6.66,-69.87,Pousada Novo Acre
210,lagoa,PT,61.0,39.05,-27.98,Casa Das Faias
212,otradnoye,RU,68.0,59.78,30.82,Baza otdikha Petrushinsky Khutor
213,genc,TR,68.0,38.75,40.56,Genc Ogretmenevi
214,poum,NC,73.36,-20.23,164.02,Gîte kajeon
215,najran,SA,77.0,17.49,44.13,محمد هادي ال فطيح
216,san cristobal,VE,64.09,7.77,-72.22,Pirineos
217,urumqi,CN,80.6,43.8,87.6,Hua Ling Grand Hotel Urumqi
218,sur,OM,86.61,22.57,59.53,Sur Plaza Hotel
219,bambous virieux,MU,73.99,-20.34,57.76,Casa Tia Villa
220,kahului,US,80.6,20.89,-156.47,Maui Seaside Hotel
223,musoma,TZ,68.0,-1.5,33.8,New Peninsula Hotel
224,jieshi,CN,86.4,22.81,115.83,Yuehai Hotel
226,saint-philippe,RE,73.4,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
230,penzance,GB,60.01,50.12,-5.54,The Corner House
232,warrington,GB,63.0,53.39,-2.58,Villaggio Hotel
233,ergani,TR,78.8,38.27,39.76,Serkan Hotel
234,alyangula,AU,82.4,-13.85,136.42,Groote Eylandt Lodge
235,saint-georges,GD,80.6,12.06,-61.75,Radisson Grenada Beach Resort
236,zhezkazgan,KZ,68.0,47.8,67.71,Kvartiry Posutochno.
238,high level,CA,68.0,58.52,-117.14,Days Inn by Wyndham High Level
239,orillia,CA,61.0,44.61,-79.42,Knights Inn Orillia
240,kembe,CF,70.5,4.62,21.89,
246,kenora,CA,60.8,49.82,-94.43,Maynard Lake Lodge
247,tiksi,RU,60.66,71.69,128.87,Arktika
250,muroto,JP,78.8,33.28,134.15,Oota Ryokan
252,geraldton,AU,69.8,-28.77,114.6,Broadwater Mariner Resort
253,tambacounda,SN,84.2,13.75,-13.76,
254,mao,ES,68.0,39.89,4.27,ARTIEM Capri
259,cabo san lucas,MX,86.0,22.89,-109.91,Hotel Tesoro Los Cabos
260,archidona,ES,71.01,37.1,-4.39,Hotel Escua
261,sibu,MY,86.0,2.3,111.82,RH HOTEL (4 Star)
262,yarada,IN,87.8,17.65,83.27,"D-26/2, Dolphin Hill,"
264,malibu,US,66.99,34.01,-118.81,Malibu Country Inn
265,sidney,AU,64.99,-33.87,151.21,QT Sydney
270,bowen,AU,73.4,-20.02,148.23,Castle Motor Lodge Motel
272,thinadhoo,MV,84.09,0.53,72.93,
273,baruun-urt,MN,76.89,46.68,113.28,Ахмадын амралт сувилал
274,lakes entrance,AU,63.0,-37.88,147.98,The Esplanade Resort & Spa
275,srednekolymsk,RU,72.57,67.45,153.68,
278,havre-saint-pierre,CA,60.8,50.23,-63.6,Auberge Niapiskau
279,udachnyy,RU,77.0,66.42,112.4,Gostinitsa Vilyuy
280,praia da vitoria,PT,60.8,38.73,-27.07,Hotel Branco I
282,umea,SE,62.6,63.83,20.26,Hotel Avenue | ProfilHotels
285,kudahuvadhoo,MV,83.75,2.67,72.89,Kudahuvadhoo Retreat
