City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
145,bethel,90,US,overcast clouds,88,41.37,-73.41,71.6,0.0,0.0,5.82
146,ambilobe,0,MG,clear sky,67,-13.2,49.05,74.17,0.0,0.0,2.86
147,aksarayskiy,41,RU,scattered clouds,21,46.79,48.01,84.2,0.0,0.0,13.42
148,thompson,20,CA,few clouds,49,55.74,-97.86,68.0,0.0,0.0,3.36
149,great falls,40,US,scattered clouds,53,47.5,-111.3,73.4,0.0,0.0,5.82
150,amethi,3,IN,light rain,50,26.15,81.82,95.58,0.11,0.11,11.27
151,yulara,0,AU,clear sky,24,-25.24,130.99,66.2,0.0,0.0,3.36
152,san patricio,13,MX,few clouds,81,19.22,-104.7,80.83,0.0,0.0,3.49
153,nybro,0,SE,clear sky,100,56.74,15.91,63.0,0.0,0.0,2.24
154,port lincoln,5,AU,clear sky,54,-34.73,135.87,59.99,0.0,0.0,10.47
155,castro,0,BR,clear sky,92,-24.79,-50.01,52.99,0.0,0.0,4.41
156,semporna,40,MY,scattered clouds,66,4.48,118.61,89.6,0.0,0.0,6.93
157,stephenville,1,US,clear sky,78,32.22,-98.2,73.4,0.0,0.0,6.93
158,souillac,40,MU,shower rain,78,-20.52,57.52,73.4,0.0,0.0,11.41
159,elko,1,US,clear sky,14,41.0,-115.5,80.6,0.0,0.0,5.82
160,roald,89,NO,overcast clouds,87,62.58,6.13,59.0,0.0,0.0,2.24
161,malko tarnovo,90,BG,shower rain,82,41.98,27.53,66.99,0.0,0.0,6.93
162,necochea,100,AR,overcast clouds,96,-38.55,-58.74,41.0,0.0,0.0,3.89
163,tanete,93,ID,overcast clouds,54,-3.94,119.78,86.63,0.0,0.0,13.13
164,sulphur,1,US,light rain,83,30.24,-93.38,77.0,0.25,0.25,3.36
165,port blair,100,IN,overcast clouds,70,11.67,92.75,85.78,0.0,0.0,9.86
166,dharchula,91,IN,light rain,57,29.85,80.53,79.48,0.87,0.87,2.3
167,bilma,0,NE,clear sky,14,18.69,12.92,84.88,0.0,0.0,7.29
168,manggar,100,ID,moderate rain,83,-2.88,108.27,80.04,1.53,1.53,10.94
169,vila franca do campo,20,PT,few clouds,87,37.72,-25.43,60.8,0.0,0.0,18.34
170,castro daire,22,PT,few clouds,1,40.9,-7.93,62.01,0.0,0.0,1.43
171,vinh,91,VN,overcast clouds,43,18.67,105.67,99.28,0.0,0.0,5.77
172,iqaluit,75,CA,broken clouds,93,63.75,-68.51,39.2,0.0,0.0,11.41
173,kaitangata,99,NZ,overcast clouds,89,-46.28,169.85,46.99,0.0,0.0,11.01
174,yukamenskoye,19,RU,few clouds,83,57.89,52.24,51.94,0.0,0.0,13.47
175,jaciara,48,BR,scattered clouds,67,-15.97,-54.97,63.54,0.0,0.0,2.71
176,nanortalik,61,GL,broken clouds,78,60.14,-45.24,40.12,0.0,0.0,4.76
177,mabai,88,CN,overcast clouds,67,23.01,104.45,78.3,0.0,0.0,7.65
178,banda aceh,73,ID,broken clouds,62,5.56,95.32,87.15,0.0,0.0,1.41
179,umm kaddadah,11,SD,few clouds,40,13.6,26.69,86.88,0.0,0.0,13.04
180,arraial do cabo,94,BR,overcast clouds,78,-22.97,-42.03,71.08,0.0,0.0,25.41
181,narsaq,57,GL,broken clouds,75,60.92,-46.05,46.4,0.0,0.0,1.12
182,namibe,64,AO,broken clouds,54,-15.2,12.15,70.39,0.0,0.0,6.11
183,guerrero negro,5,MX,clear sky,92,27.98,-114.06,63.01,0.0,0.0,12.68
184,cidreira,33,BR,scattered clouds,76,-30.18,-50.21,66.92,0.0,0.0,4.81
185,saint george,1,US,clear sky,10,37.1,-113.58,95.0,0.0,0.0,8.05
186,sao filipe,0,CV,clear sky,78,14.9,-24.5,76.53,0.0,0.0,7.74
187,atkarsk,100,RU,moderate rain,86,51.87,45.01,59.79,1.36,1.36,13.44
188,talnakh,40,RU,scattered clouds,39,69.49,88.4,66.2,0.0,0.0,6.71
189,manta,89,EC,overcast clouds,84,-0.95,-80.73,73.53,0.0,0.0,10.56
190,zhuhai,40,CN,scattered clouds,79,22.28,113.57,97.0,0.0,0.0,13.87
191,labuhan,85,ID,overcast clouds,61,-6.88,112.21,85.41,0.0,0.0,3.42
192,mogadishu,75,SO,broken clouds,69,2.04,45.34,80.6,0.0,0.0,17.22
